iter	Passed	Remaining
810	13581	3165
811	13597	3148
812	13613	3131
813	13633	3115
814	13648	3098
815	13663	3080
816	13677	3063
817	13698	3047
818	13713	3030
819	13727	3013
820	13741	2996
821	13761	2979
822	13776	2962
823	13790	2945
824	13810	2929
825	13830	2913
826	13845	2896
827	13859	2878
828	13874	2861
829	13893	2845
830	13908	2828
831	13922	2811
832	13936	2794
833	13956	2777
834	13971	2760
835	13984	2743
836	13997	2725
837	14020	2710
838	14034	2693
839	14049	2676
840	14063	2658
841	14084	2642
842	14098	2625
843	14111	2608
844	14124	2590
845	14144	2574
846	14158	2557
847	14172	2540
848	14186	2523
849	14205	2506
850	14220	2489
851	14236	2472
852	14250	2455
853	14271	2439
854	14285	2422
855	14304	2406
856	14317	2389
857	14335	2372
858	14348	2355
859	14362	2338
860	14377	2321
861	14397	2304
862	14411	2287
863	14428	2271
864	14444	2254
865	14464	2238
866	14479	2221
867	14493	2204
868	14508	2187
869	14527	2170
870	14542	2153
871	14556	2136
872	14569	2119
873	14589	2103
874	14604	2086
875	14618	2069
876	14634	2052
877	14655	2036
878	14669	2019
879	14683	2002
880	14696	1985
881	14717	1968
882	14731	1951
883	14746	1935
884	14760	1918
885	14779	1901
886	14794	1884
887	14807	1867
888	14822	1850
889	14845	1834
890	14859	1817
891	14874	1800
892	14887	1783
893	14908	1767
894	14922	1750
895	14937	1733
896	14950	1716
897	14971	1700
898	14985	1683
899	15000	1666
900	15014	1649
901	15035	1633
902	15053	1617
903	15067	1600
904	15081	1583
905	15102	1566
906	15116	1549
907	15129	1532
908	15145	1516
909	15167	1500
910	15181	1483
911	15195	1466
912	15209	1449
913	15232	1433
914	15246	1416
915	15264	1399
916	15278	1382
917	15299	1366
918	15313	1349
919	15327	1332
920	15341	1315
921	15360	1299
922	15375	1282
923	15392	1266
924	15408	1249
925	15429	1233
926	15444	1216
927	15457	1199
928	15473	1182
929	15494	1166
930	15508	1149
931	15529	1133
932	15543	1116
933	15563	1099
934	15577	1082
935	15590	1066
936	15604	1049
937	15623	1032
938	15638	1015
939	15652	999
940	15666	982
941	15688	965
942	15704	949
943	15718	932
944	15732	915
945	15753	899
946	15767	882
947	15782	865
948	15795	848
949	15815	832
950	15830	815
951	15844	798
952	15858	782
953	15879	765
954	15895	748
955	15909	732
956	15923	715
957	15945	699
958	15960	682
959	15975	665
960	15988	648
961	16009	632
962	16023	615
963	16038	598
964	16053	582
965	16072	565
966	16087	549
967	16113	532
968	16128	515
969	16148	499
970	16162	482
971	16177	466
972	16192	449
973	16212	432
974	16226	416
975	16241	399
976	16256	382
977	16276	366
978	16290	349
979	16303	332
980	16321	316
981	16342	299
982	16358	282
983	16371	266
984	16385	249
985	16405	232
986	16419	216
987	16432	199
988	16448	182
989	16467	166
990	16483	149
991	16496	133
992	16510	116
993	16532	99
994	16548	83
995	16563	66
996	16582	49
997	16602	33
998	16616	16
999	16632	0
